domain;classifier;feature;kind;multiplicity;policy;witness;status
OVA;NavigationCountExpression;iterator;val;0..1;mapped;java-refinement:OVA.NavigationCountExpression.iterator;CERTIFIED
OVA;NavigationCountExpression;predicate;val;0..1;mapped;java-refinement:OVA.NavigationCountExpression.predicate;CERTIFIED
OVA;NavigationUniquenessExpression;navigation;val;1;mapped;java-refinement:OVA.NavigationUniquenessExpression.navigation;CERTIFIED
OVA;NavigationUniquenessExpression;iterator;val;1;mapped;java-refinement:OVA.NavigationUniquenessExpression.iterator;CERTIFIED
OVA;NavigationUniquenessExpression;predicate;val;0..1;mapped;java-refinement:OVA.NavigationUniquenessExpression.predicate;CERTIFIED
OVA;NavigationUniquenessExpression;projection;val;1;mapped;java-refinement:OVA.NavigationUniquenessExpression.projection;CERTIFIED
CQM;QueryModule;languageVersion;attr;1;derived;contract:CQM.QueryModule.languageVersion;CERTIFIED
CQM;QueryModule;certificationProfile;attr;1;derived;contract:CQM.QueryModule.certificationProfile;CERTIFIED
CQM;QueryModule;invariants;val;*;mapped;java-refinement:CQM.QueryModule.invariants;CERTIFIED
CQM;QueryModule;astLoweringContract;val;1;derived;contract:CQM.QueryModule.astLoweringContract;CERTIFIED
CQM;InvariantPlan;planId;attr;1;erased;identity-metadata-not-used-by-denotation;CERTIFIED
CQM;InvariantPlan;invariantName;attr;1;mapped;java-refinement:CQM.InvariantPlan.invariantName;CERTIFIED
CQM;InvariantPlan;contextClassName;attr;1;mapped;java-refinement:CQM.InvariantPlan.contextClassName;CERTIFIED
CQM;InvariantPlan;violationPolicy;attr;1;mapped;java-refinement:CQM.InvariantPlan.violationPolicy;CERTIFIED
CQM;InvariantPlan;evaluationPolicy;attr;1;mapped;java-refinement:CQM.InvariantPlan.evaluationPolicy;CERTIFIED
CQM;InvariantPlan;graphBinding;val;1;mapped;java-refinement:CQM.InvariantPlan.graphBinding;CERTIFIED
CQM;InvariantPlan;predicate;val;1;mapped;java-refinement:CQM.InvariantPlan.predicate;CERTIFIED
CQM;GraphContextBinding;profileId;attr;1;mapped;java-refinement:CQM.GraphContextBinding.profileId;CERTIFIED
CQM;GraphContextBinding;modelKey;attr;1;mapped;java-refinement:CQM.GraphContextBinding.modelKey;CERTIFIED
CQM;GraphContextBinding;contextClassKey;attr;1;mapped;java-refinement:CQM.GraphContextBinding.contextClassKey;CERTIFIED
CQM;GraphContextBinding;objectLabel;attr;1;mapped;java-refinement:CQM.GraphContextBinding.objectLabel;CERTIFIED
CQM;GraphContextBinding;classLabel;attr;1;mapped;java-refinement:CQM.GraphContextBinding.classLabel;CERTIFIED
CQM;GraphContextBinding;conformanceRelationship;attr;1;mapped;java-refinement:CQM.GraphContextBinding.conformanceRelationship;CERTIFIED
CQM;GraphContextBinding;identityProperty;attr;1;mapped;java-refinement:CQM.GraphContextBinding.identityProperty;CERTIFIED
CQM;PlanType;kind;attr;1;mapped;java-refinement:CQM.PlanType.kind;CERTIFIED
CQM;PlanType;typeName;attr;0..1;mapped;java-refinement:CQM.PlanType.typeName;CERTIFIED
CQM;PlanType;collectionKind;attr;1;mapped;java-refinement:CQM.PlanType.collectionKind;CERTIFIED
CQM;PlanType;elementType;val;0..1;mapped;java-refinement:CQM.PlanType.elementType;CERTIFIED
CQM;PlanExpression;nodeId;attr;1;erased;identity-metadata-not-used-by-denotation;CERTIFIED
CQM;PlanExpression;resultType;val;1;mapped;java-refinement:CQM.PlanExpression.resultType;CERTIFIED
CQM;VariablePlan;variableName;attr;1;mapped;java-refinement:CQM.VariablePlan.variableName;CERTIFIED
CQM;LiteralPlan;kind;attr;1;mapped;java-refinement:CQM.LiteralPlan.kind;CERTIFIED
CQM;LiteralPlan;lexicalValue;attr;0..1;mapped;java-refinement:CQM.LiteralPlan.lexicalValue;CERTIFIED
CQM;SetPlan;elements;val;*;mapped;java-refinement:CQM.SetPlan.elements;CERTIFIED
CQM;UnaryPlan;operator;attr;1;mapped;java-refinement:CQM.UnaryPlan.operator;CERTIFIED
CQM;UnaryPlan;operand;val;1;mapped;java-refinement:CQM.UnaryPlan.operand;CERTIFIED
CQM;BinaryPlan;operator;attr;1;mapped;java-refinement:CQM.BinaryPlan.operator;CERTIFIED
CQM;BinaryPlan;left;val;1;mapped;java-refinement:CQM.BinaryPlan.left;CERTIFIED
CQM;BinaryPlan;right;val;1;mapped;java-refinement:CQM.BinaryPlan.right;CERTIFIED
CQM;IfPlan;condition;val;1;mapped;java-refinement:CQM.IfPlan.condition;CERTIFIED
CQM;IfPlan;thenBranch;val;1;mapped;java-refinement:CQM.IfPlan.thenBranch;CERTIFIED
CQM;IfPlan;elseBranch;val;1;mapped;java-refinement:CQM.IfPlan.elseBranch;CERTIFIED
CQM;LetPlan;variableName;attr;1;mapped;java-refinement:CQM.LetPlan.variableName;CERTIFIED
CQM;LetPlan;variableType;val;1;mapped;java-refinement:CQM.LetPlan.variableType;CERTIFIED
CQM;LetPlan;value;val;1;mapped;java-refinement:CQM.LetPlan.value;CERTIFIED
CQM;LetPlan;body;val;1;mapped;java-refinement:CQM.LetPlan.body;CERTIFIED
CQM;AttributeBinding;ownerClassName;attr;1;mapped;java-refinement:CQM.AttributeBinding.ownerClassName;CERTIFIED
CQM;AttributeBinding;attributeName;attr;1;mapped;java-refinement:CQM.AttributeBinding.attributeName;CERTIFIED
CQM;AttributeBinding;attributeKey;attr;1;mapped;java-refinement:CQM.AttributeBinding.attributeKey;CERTIFIED
CQM;AttributeBinding;storage;attr;1;mapped;java-refinement:CQM.AttributeBinding.storage;CERTIFIED
CQM;AttributeBinding;directProperty;attr;0..1;mapped;java-refinement:CQM.AttributeBinding.directProperty;CERTIFIED
CQM;AttributeBinding;slotLabel;attr;1;mapped;java-refinement:CQM.AttributeBinding.slotLabel;CERTIFIED
CQM;AttributeBinding;ownerRelationship;attr;1;mapped;java-refinement:CQM.AttributeBinding.ownerRelationship;CERTIFIED
CQM;AttributeBinding;valueProperty;attr;1;mapped;java-refinement:CQM.AttributeBinding.valueProperty;CERTIFIED
CQM;AttributeAccessPlan;source;val;1;mapped;java-refinement:CQM.AttributeAccessPlan.source;CERTIFIED
CQM;AttributeAccessPlan;binding;val;1;mapped;java-refinement:CQM.AttributeAccessPlan.binding;CERTIFIED
CQM;NavigationBinding;associationName;attr;1;mapped;java-refinement:CQM.NavigationBinding.associationName;CERTIFIED
CQM;NavigationBinding;associationKey;attr;1;mapped;java-refinement:CQM.NavigationBinding.associationKey;CERTIFIED
CQM;NavigationBinding;sourceClassName;attr;1;mapped;java-refinement:CQM.NavigationBinding.sourceClassName;CERTIFIED
CQM;NavigationBinding;targetClassName;attr;1;mapped;java-refinement:CQM.NavigationBinding.targetClassName;CERTIFIED
CQM;NavigationBinding;sourceRole;attr;0..1;mapped;java-refinement:CQM.NavigationBinding.sourceRole;CERTIFIED
CQM;NavigationBinding;targetRole;attr;0..1;mapped;java-refinement:CQM.NavigationBinding.targetRole;CERTIFIED
CQM;NavigationBinding;direction;attr;1;mapped;java-refinement:CQM.NavigationBinding.direction;CERTIFIED
CQM;NavigationBinding;relationshipTypePrefix;attr;1;mapped;java-refinement:CQM.NavigationBinding.relationshipTypePrefix;CERTIFIED
CQM;NavigationBinding;sourceQualifierProperty;attr;1;mapped;java-refinement:CQM.NavigationBinding.sourceQualifierProperty;CERTIFIED
CQM;NavigationBinding;targetQualifierProperty;attr;1;mapped;java-refinement:CQM.NavigationBinding.targetQualifierProperty;CERTIFIED
CQM;NavigationAccessPlan;source;val;1;mapped;java-refinement:CQM.NavigationAccessPlan.source;CERTIFIED
CQM;NavigationAccessPlan;binding;val;1;mapped;java-refinement:CQM.NavigationAccessPlan.binding;CERTIFIED
CQM;NavigationAccessPlan;qualifiers;val;*;mapped;java-refinement:CQM.NavigationAccessPlan.qualifiers;CERTIFIED
CQM;CallPlan;callKind;attr;1;mapped;java-refinement:CQM.CallPlan.callKind;CERTIFIED
CQM;CallPlan;operationName;attr;1;mapped;java-refinement:CQM.CallPlan.operationName;CERTIFIED
CQM;CallPlan;source;val;1;mapped;java-refinement:CQM.CallPlan.source;CERTIFIED
CQM;CallPlan;sourceCollectionType;val;0..1;mapped;java-refinement:CQM.CallPlan.sourceCollectionType;CERTIFIED
CQM;CallPlan;arguments;val;*;mapped;java-refinement:CQM.CallPlan.arguments;CERTIFIED
CQM;IteratorPlan;kind;attr;1;mapped;java-refinement:CQM.IteratorPlan.kind;CERTIFIED
CQM;IteratorPlan;iteratorName;attr;1;mapped;java-refinement:CQM.IteratorPlan.iteratorName;CERTIFIED
CQM;IteratorPlan;iteratorType;val;1;mapped;java-refinement:CQM.IteratorPlan.iteratorType;CERTIFIED
CQM;IteratorPlan;source;val;1;mapped;java-refinement:CQM.IteratorPlan.source;CERTIFIED
CQM;IteratorPlan;sourceCollectionType;val;1;mapped;java-refinement:CQM.IteratorPlan.sourceCollectionType;CERTIFIED
CQM;IteratorPlan;body;val;1;mapped;java-refinement:CQM.IteratorPlan.body;CERTIFIED
CQM;NavigationMatchPlan;targetAlias;attr;1;mapped;java-refinement:CQM.NavigationMatchPlan.targetAlias;CERTIFIED
CQM;NavigationMatchPlan;predicateMode;attr;1;mapped;java-refinement:CQM.NavigationMatchPlan.predicateMode;CERTIFIED
CQM;NavigationMatchPlan;owner;val;1;mapped;java-refinement:CQM.NavigationMatchPlan.owner;CERTIFIED
CQM;NavigationMatchPlan;navigation;val;1;mapped;java-refinement:CQM.NavigationMatchPlan.navigation;CERTIFIED
CQM;NavigationMatchPlan;predicate;val;0..1;mapped;java-refinement:CQM.NavigationMatchPlan.predicate;CERTIFIED
CQM;NavigationMatchPlan;targetType;val;1;mapped;java-refinement:CQM.NavigationMatchPlan.targetType;CERTIFIED
CQM;ExistsSubqueryPlan;match;val;1;mapped;java-refinement:CQM.ExistsSubqueryPlan.match;CERTIFIED
CQM;NotExistsSubqueryPlan;match;val;1;mapped;java-refinement:CQM.NotExistsSubqueryPlan.match;CERTIFIED
CQM;CountComparisonPlan;operator;attr;1;mapped;java-refinement:CQM.CountComparisonPlan.operator;CERTIFIED
CQM;CountComparisonPlan;literal;attr;1;mapped;java-refinement:CQM.CountComparisonPlan.literal;CERTIFIED
CQM;CountComparisonPlan;match;val;1;mapped;java-refinement:CQM.CountComparisonPlan.match;CERTIFIED
CQM;UniquenessPlan;match;val;1;mapped;java-refinement:CQM.UniquenessPlan.match;CERTIFIED
CQM;UniquenessPlan;projection;val;1;mapped;java-refinement:CQM.UniquenessPlan.projection;CERTIFIED
CQM;AstLoweringContract;cypherDialect;attr;1;mapped;java-refinement:CQM.AstLoweringContract.cypherDialect;CERTIFIED
CQM;AstLoweringContract;parserImplementation;attr;1;mapped;java-refinement:CQM.AstLoweringContract.parserImplementation;CERTIFIED
CQM;AstLoweringContract;requireIndependentParse;attr;1;mapped;java-refinement:CQM.AstLoweringContract.requireIndependentParse;CERTIFIED
CQM;AstLoweringContract;requireBoundedExpansion;attr;1;mapped;java-refinement:CQM.AstLoweringContract.requireBoundedExpansion;CERTIFIED
CQM;AstLoweringContract;rules;val;+;derived;contract:CQM.AstLoweringContract.rules;CERTIFIED
CQM;ConstructorAstRule;ruleId;attr;1;mapped;java-refinement:CQM.ConstructorAstRule.ruleId;CERTIFIED
CQM;ConstructorAstRule;sourceConstructor;attr;1;mapped;java-refinement:CQM.ConstructorAstRule.sourceConstructor;CERTIFIED
CQM;ConstructorAstRule;requiredAstKinds;attr;+;mapped;java-refinement:CQM.ConstructorAstRule.requiredAstKinds;CERTIFIED
CQM;ConstructorAstRule;forbiddenAstKinds;attr;*;mapped;java-refinement:CQM.ConstructorAstRule.forbiddenAstKinds;CERTIFIED
CQM;ConstructorAstRule;maxCopiesPerComplexChild;attr;1;mapped;java-refinement:CQM.ConstructorAstRule.maxCopiesPerComplexChild;CERTIFIED
CQM;ConstructorAstRule;observationContract;attr;1;mapped;java-refinement:CQM.ConstructorAstRule.observationContract;CERTIFIED
